area,time,capacity
BG23,08:18,0.01215
BG23,09:18,0.088047
BG23,10:18,0.299619
BG23,11:18,0.669789
BG23,12:18,0.8854920000000001
BG23,13:18,0.8772300000000001
BG23,14:18,1.0
BG23,15:18,1.0
BG23,16:18,0.990711
BG23,17:18,0.900963
BG23,18:18,0.6885
BG23,19:18,0.374382
BG23,20:18,0.19035
BG23,21:18,0.136485
BG23,22:18,0.10934999999999999
BG23,23:18,0.087804
BG56,08:18,0.0
BG56,09:18,0.038453999999999995
BG56,10:18,0.12097799999999999
BG56,11:18,0.544986
BG56,12:18,0.738426
BG56,13:18,0.7200179999999999
BG56,14:18,0.709956
BG56,15:18,0.834756
BG56,16:18,0.7449
BG56,17:18,0.7097220000000001
BG56,18:18,0.385944
BG56,19:18,0.23517
BG56,20:18,0.14429999999999998
BG56,21:18,0.049842
BG56,22:18,0.0156
BG56,23:18,0.008424000000000001
BSBG,08:18,0.00555
BSBG,09:18,0.079476
BSBG,10:18,0.2331
BSBG,11:18,0.514818
BSBG,12:18,0.5291370000000001
BSBG,13:18,0.41414100000000004
BSBG,14:18,0.525363
BSBG,15:18,0.48151799999999995
BSBG,16:18,0.36263700000000004
BSBG,17:18,0.341547
BSBG,18:18,0.231102
BSBG,19:18,0.29637
BSBG,20:18,0.27195
BSBG,21:18,0.21778199999999998
BSBG,22:18,0.113775
BSBG,23:18,0.035076
BSEA,08:18,0.0
BSEA,09:18,0.08008
BSEA,10:18,0.138684
BSEA,11:18,0.374816
BSEA,12:18,0.537368
BSEA,13:18,0.660868
BSEA,14:18,0.7020519999999999
BSEA,15:18,0.9435399999999999
BSEA,16:18,0.7028840000000001
BSEA,17:18,0.5151640000000001
BSEA,18:18,0.2912
BSEA,19:18,0.17352399999999998
BSEA,20:18,0.08449999999999999
BSEA,21:18,0.034008
BSEA,22:18,0.0208
BSEA,23:18,0.0052
BSGA,08:18,0.007
BSGA,09:18,0.113596
BSGA,10:18,0.32858
BSGA,11:18,0.560224
BSGA,12:18,0.674744
BSGA,13:18,0.717024
BSGA,14:18,0.8017520000000001
BSGA,15:18,0.871136
BSGA,16:18,0.752248
BSGA,17:18,0.6523439999999999
BSGA,18:18,0.365036
BSGA,19:18,0.196476
BSGA,20:18,0.1575
BSGA,21:18,0.072604
BSGA,22:18,0.0553
BSGA,23:18,0.033208
BSLS,08:18,0.0
BSLS,09:18,0.05206499999999999
BSLS,10:18,0.165685
BSLS,11:18,0.34892
BSLS,12:18,0.459355
BSLS,13:18,0.582985
BSLS,14:18,0.584935
BSLS,15:18,0.7699900000000001
BSLS,16:18,0.54379
BSLS,17:18,0.39949
BSLS,18:18,0.274105
BSLS,19:18,0.16093999999999997
BSLS,20:18,0.1235
BSLS,21:18,0.08099
BSLS,22:18,0.06824999999999999
BSLS,23:18,0.04056
INFO,08:18,0.0
INFO,09:18,0.09061999999999999
INFO,10:18,0.296654
INFO,11:18,0.717554
INFO,12:18,0.838718
INFO,13:18,0.8431339999999999
INFO,14:18,0.926118
INFO,15:18,1.0
INFO,16:18,1.0
INFO,17:18,0.6867800000000001
INFO,18:18,0.33331599999999995
INFO,19:18,0.176502
INFO,20:18,0.07015
INFO,21:18,0.041077999999999996
INFO,22:18,0.0276
INFO,23:18,0.01702
JEAP,08:18,0.00145
JEAP,09:18,0.195605
JEAP,10:18,0.540821
JEAP,11:18,0.7252609999999999
JEAP,12:18,0.796543
JEAP,13:18,0.7437339999999999
JEAP,14:18,0.7665569999999999
JEAP,15:18,0.851498
JEAP,16:18,0.737586
JEAP,17:18,0.6596049999999999
JEAP,18:18,0.5212169999999999
JEAP,19:18,0.314824
JEAP,20:18,0.181975
JEAP,21:18,0.13835899999999998
JEAP,22:18,0.08845
JEAP,23:18,0.056665999999999994
JGAR,08:18,0.00245
JGAR,09:18,0.289639
JGAR,10:18,0.605199
JGAR,11:18,0.6935950000000001
JGAR,12:18,0.728385
JGAR,13:18,0.740292
JGAR,14:18,0.7497980000000001
JGAR,15:18,0.860097
JGAR,16:18,0.8837149999999999
JGAR,17:18,0.6909489999999999
JGAR,18:18,0.469861
JGAR,19:18,0.338051
JGAR,20:18,0.329525
JGAR,21:18,0.26313000000000003
JGAR,22:18,0.1519
JGAR,23:18,0.085211
